"method","V2","V3","V4"
"PC_RANDOM","0.873067747212069","0.72733762727939","0.534661901041458"
"STOREY","1.376","1.16","0.804"
"PC","1.46562719785577","1.2381506621226","0.927921219034925"
"RES_STOREY","0.866796006976577","0.740804662768852","0.510503635461742"
"PC_midp","0.893598583178957","0.763614394384326","0.577976462305067"
"STOREY_RANDOM","0.893021993148329","0.763223692649169","0.576927318309578"
"PC_RANDOM","0.875591808320391","0.729041101804338","0.526900980219363"
"STOREY","1.44","1.156","0.828"
"PC","1.52383343679079","1.21309601087824","0.932004554640434"
"RES_STOREY","0.904733584902822","0.718883531047116","0.530447615359535"
"PC_midp","0.924561181406284","0.735549959303156","0.581039755711385"
"STOREY_RANDOM","0.922578141234958","0.735247214282787","0.581875661845678"
"PC_RANDOM","0.914859866477123","0.705754094345688","0.52713360978572"
"STOREY","1.492","1.212","0.86"
"PC","1.54246122839435","1.27248823320085","0.931089424408524"
"RES_STOREY","0.93710836955915","0.776315577604422","0.554986245159832"
"PC_midp","0.934524520621049","0.780363083982979","0.578538454756976"
"STOREY_RANDOM","0.936091197057174","0.783505764508026","0.578320067594847"
"PC_RANDOM","0.942470716680656","0.762762002154666","0.526236683502774"
"STOREY","1.416","1.18","0.868"
"PC","1.49565893814299","1.25169904595678","0.936837334713892"
"RES_STOREY","0.885120908555102","0.742990048680125","0.563740490722377"
"PC_midp","0.907889801912835","0.761419538707783","0.58203021549869"
"STOREY_RANDOM","0.908637333085342","0.75957964203293","0.580937618853179"
"PC_RANDOM","0.889308311137549","0.737616314877821","0.548272574330832"
"STOREY","1.452","1.128","0.816"
"PC","1.50769805639155","1.21369656109688","0.914147296841123"
"RES_STOREY","0.927925374051885","0.722485315396863","0.513424564565856"
"PC_midp","0.920584453566144","0.749628911123507","0.562121534162239"
"STOREY_RANDOM","0.920887378376393","0.749277002790726","0.560411152245657"
"PC_RANDOM","0.915469305513955","0.716373166994914","0.495285700624231"
"STOREY","1.444","1.148","0.88"
"PC","1.5034684516732","1.2235752419175","0.959474387816421"
"RES_STOREY","0.898675871362962","0.721917459720073","0.567729022691172"
"PC_midp","0.909782223838531","0.74107373775731","0.597150238609588"
"STOREY_RANDOM","0.90925686415644","0.739450794704817","0.597035106355462"
"PC_RANDOM","0.893393424873331","0.718767661438518","0.542324361435763"
"STOREY","1.484","1.104","0.808"
"PC","1.53142373757142","1.19243137250104","0.890922547816852"
"RES_STOREY","0.954754045733668","0.691930721123919","0.517983709874219"
"PC_midp","0.941463398774824","0.722183275554161","0.546471776809841"
"STOREY_RANDOM","0.941511274205586","0.720287864120549","0.547207142288565"
"PC_RANDOM","0.94056336678063","0.688734855628552","0.498910168784933"
"STOREY","1.452","1.176","0.86"
"PC","1.51927524881248","1.22426325546587","0.941884854948222"
"RES_STOREY","0.911798310314167","0.746353214594671","0.542597892732842"
"PC_midp","0.916993388132503","0.745213634331944","0.579451696860895"
"STOREY_RANDOM","0.920622053353466","0.743700955308636","0.580113522081422"
"PC_RANDOM","0.903076452317754","0.730235437597039","0.52931958401521"
"STOREY","1.428","1.144","0.864"
"PC","1.49217272108861","1.20533653570995","0.941505963053469"
"RES_STOREY","0.884668473155611","0.712238184341767","0.549867629190464"
"PC_midp","0.894526396398283","0.732406439247999","0.580928451703667"
"STOREY_RANDOM","0.891034394294208","0.73337645295552","0.580573398353411"
"PC_RANDOM","0.869276101680441","0.687850925018623","0.536729117980779"
"STOREY","1.452","1.164","0.868"
"PC","1.51035716437339","1.23767792184692","0.955050242856766"
"RES_STOREY","0.905613243147186","0.728083900160505","0.552359383455189"
"PC_midp","0.905928499357977","0.753386996489323","0.595517461190192"
"STOREY_RANDOM","0.906745088329737","0.752166278359496","0.594822140308694"
"PC_RANDOM","0.895454392310389","0.717901952413396","0.548307709004082"
"STOREY","1.416","1.164","0.872"
"PC","1.49019321430965","1.2117505247746","0.950784455276682"
"RES_STOREY","0.884405297496692","0.737311993496891","0.557683651185092"
"PC_midp","0.898629404266471","0.74059603094727","0.590105428347627"
"STOREY_RANDOM","0.898835463650273","0.740685139086373","0.587925048174059"
"PC_RANDOM","0.883946164313433","0.719346968023323","0.55017548011863"
"STOREY","1.496","1.168","0.772"
"PC","1.54531683750702","1.23828910314765","0.879480432954497"
"RES_STOREY","0.957714443098354","0.751587779604168","0.494606234880678"
"PC_midp","0.948866762099617","0.768307420323556","0.545656799859804"
"STOREY_RANDOM","0.950653001475695","0.771258285816179","0.544142942171847"
"PC_RANDOM","0.953926051398173","0.739805957746816","0.481439211617379"
"STOREY","1.46","1.168","0.844"
"PC","1.54063589704619","1.23093496660637","0.927791975542838"
"RES_STOREY","0.918534474474028","0.745268082889852","0.536610249816491"
"PC_midp","0.938968620887644","0.753293377676007","0.574865557655285"
"STOREY_RANDOM","0.939297828853314","0.75091101465486","0.574039384636802"
"PC_RANDOM","0.928899698856332","0.743511773886164","0.516855118506999"
"STOREY","1.424","1.192","0.82"
"PC","1.49671447239318","1.2387877299137","0.905882851451545"
"RES_STOREY","0.896293419007415","0.773421181003856","0.510240087540941"
